Input arguments:
id               resnet50_upernet_0.2
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_40x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.2
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/learning_rate/
disp_iter        20
Model ID: resnet50_upernet_0.2-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.2-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [3][360/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017536, lr_decoder: 0.175363, Accuracy: 99.90, IOU: 0.204311 Loss: 0.005461
Epoch: [3][380/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017500, lr_decoder: 0.174998, Accuracy: 99.90, IOU: 0.204686 Loss: 0.005439
Epoch: [3][400/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017463, lr_decoder: 0.174632, Accuracy: 99.90, IOU: 0.207540 Loss: 0.005360
Epoch: [3][420/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017427, lr_decoder: 0.174267, Accuracy: 99.90, IOU: 0.207367 Loss: 0.005367
Epoch: [3][440/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017390, lr_decoder: 0.173901, Accuracy: 99.90, IOU: 0.211456 Loss: 0.005305
Epoch: [3][460/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017354, lr_decoder: 0.173535, Accuracy: 99.90, IOU: 0.213440 Loss: 0.005336
Epoch: [3][480/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017317, lr_decoder: 0.173170, Accuracy: 99.90, IOU: 0.214178 Loss: 0.005348
Saving checkpoints...
Epoch: [4][0/500], Time: 1.27, Data: 0.00, lr_encoder: 0.017280, lr_decoder: 0.172804, Accuracy: 99.87, IOU: 0.035714 Loss: 0.004882
Epoch: [4][20/500], Time: 1.12, Data: 0.04, lr_encoder: 0.017244, lr_decoder: 0.172438, Accuracy: 99.85, IOU: 0.259724 Loss: 0.007628
Epoch: [4][40/500], Time: 1.08, Data: 0.04, lr_encoder: 0.017207, lr_decoder: 0.172072, Accuracy: 99.87, IOU: 0.206042 Loss: 0.006401
Epoch: [4][60/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017171, lr_decoder: 0.171706, Accuracy: 99.89, IOU: 0.205818 Loss: 0.005710
Epoch: [4][80/500], Time: 1.07, Data: 0.04, lr_encoder: 0.017134, lr_decoder: 0.171339, Accuracy: 99.90, IOU: 0.189801 Loss: 0.005550
Epoch: [4][100/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017097, lr_decoder: 0.170973, Accuracy: 99.90, IOU: 0.185404 Loss: 0.005127
Epoch: [4][120/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017061, lr_decoder: 0.170607, Accuracy: 99.91, IOU: 0.187235 Loss: 0.004851
Epoch: [4][140/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017024, lr_decoder: 0.170240, Accuracy: 99.91, IOU: 0.194186 Loss: 0.004633
Epoch: [4][160/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016987, lr_decoder: 0.169874, Accuracy: 99.91, IOU: 0.201731 Loss: 0.004681
Epoch: [4][180/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016951, lr_decoder: 0.169507, Accuracy: 99.91, IOU: 0.213040 Loss: 0.004709
Epoch: [4][200/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016914, lr_decoder: 0.169140, Accuracy: 99.91, IOU: 0.208059 Loss: 0.004638
Epoch: [4][220/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016877, lr_decoder: 0.168774, Accuracy: 99.91, IOU: 0.208715 Loss: 0.004656
Epoch: [4][240/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016841, lr_decoder: 0.168407, Accuracy: 99.90, IOU: 0.206719 Loss: 0.004904
Epoch: [4][260/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016804, lr_decoder: 0.168040, Accuracy: 99.91, IOU: 0.211547 Loss: 0.004830
Epoch: [4][280/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016767, lr_decoder: 0.167673, Accuracy: 99.91, IOU: 0.215616 Loss: 0.004705
Epoch: [4][300/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016731, lr_decoder: 0.167305, Accuracy: 99.91, IOU: 0.216664 Loss: 0.004651
Epoch: [4][320/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016694, lr_decoder: 0.166938, Accuracy: 99.91, IOU: 0.218660 Loss: 0.004582
Epoch: [4][340/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016657, lr_decoder: 0.166571, Accuracy: 99.91, IOU: 0.220800 Loss: 0.004513
Epoch: [4][360/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016620, lr_decoder: 0.166203, Accuracy: 99.91, IOU: 0.222415 Loss: 0.004503
Epoch: [4][380/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016584, lr_decoder: 0.165836, Accuracy: 99.91, IOU: 0.221192 Loss: 0.004554
Epoch: [4][400/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016547, lr_decoder: 0.165468, Accuracy: 99.91, IOU: 0.224532 Loss: 0.004508
Epoch: [4][420/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016510, lr_decoder: 0.165101, Accuracy: 99.91, IOU: 0.223033 Loss: 0.004501
Epoch: [4][440/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016473, lr_decoder: 0.164733, Accuracy: 99.91, IOU: 0.220132 Loss: 0.004514
Epoch: [4][460/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016436, lr_decoder: 0.164365, Accuracy: 99.91, IOU: 0.220169 Loss: 0.004442
Epoch: [4][480/500], Time: 1.10, Data: 0.04, lr_encoder: 0.016400, lr_decoder: 0.163997, Accuracy: 99.91, IOU: 0.221057 Loss: 0.004441
Saving checkpoints...
Epoch: [5][0/500], Time: 1.32, Data: 0.00, lr_encoder: 0.016363, lr_decoder: 0.163629, Accuracy: 99.91, IOU: 0.183206 Loss: 0.002761
Epoch: [5][20/500], Time: 1.02, Data: 0.04, lr_encoder: 0.016326, lr_decoder: 0.163261, Accuracy: 99.93, IOU: 0.236296 Loss: 0.003355
Epoch: [5][40/500], Time: 1.01, Data: 0.04, lr_encoder: 0.016289, lr_decoder: 0.162892, Accuracy: 99.89, IOU: 0.240900 Loss: 0.004822
Epoch: [5][60/500], Time: 1.04, Data: 0.04, lr_encoder: 0.016252, lr_decoder: 0.162524, Accuracy: 99.90, IOU: 0.228333 Loss: 0.004458
Epoch: [5][80/500], Time: 1.07, Data: 0.04, lr_encoder: 0.016216, lr_decoder: 0.162156, Accuracy: 99.91, IOU: 0.248949 Loss: 0.004291
Epoch: [5][100/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016179, lr_decoder: 0.161787, Accuracy: 99.91, IOU: 0.242730 Loss: 0.004269
Epoch: [5][120/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016142, lr_decoder: 0.161418, Accuracy: 99.92, IOU: 0.240197 Loss: 0.004231
Epoch: [5][140/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016105, lr_decoder: 0.161050, Accuracy: 99.92, IOU: 0.241868 Loss: 0.004144
Epoch: [5][160/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016068, lr_decoder: 0.160681, Accuracy: 99.92, IOU: 0.239295 Loss: 0.004043
Epoch: [5][180/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016031, lr_decoder: 0.160312, Accuracy: 99.92, IOU: 0.239585 Loss: 0.003977
Epoch: [5][200/500], Time: 1.09, Data: 0.04, lr_encoder: 0.015994, lr_decoder: 0.159943, Accuracy: 99.92, IOU: 0.237554 Loss: 0.003887
Epoch: [5][220/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015957, lr_decoder: 0.159574, Accuracy: 99.93, IOU: 0.236585 Loss: 0.003830
Epoch: [5][240/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015920, lr_decoder: 0.159205, Accuracy: 99.93, IOU: 0.238999 Loss: 0.003860
Epoch: [5][260/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015884, lr_decoder: 0.158835, Accuracy: 99.93, IOU: 0.241707 Loss: 0.003824
Epoch: [5][280/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015847, lr_decoder: 0.158466, Accuracy: 99.93, IOU: 0.243000 Loss: 0.003855
Epoch: [5][300/500], Time: 1.07, Data: 0.04, lr_encoder: 0.015810, lr_decoder: 0.158097, Accuracy: 99.93, IOU: 0.240155 Loss: 0.003855
Epoch: [5][320/500], Time: 1.07, Data: 0.04, lr_encoder: 0.015773, lr_decoder: 0.157727, Accuracy: 99.93, IOU: 0.238706 Loss: 0.003794
Epoch: [5][340/500], Time: 1.07, Data: 0.04, lr_encoder: 0.015736, lr_decoder: 0.157357, Accuracy: 99.93, IOU: 0.240764 Loss: 0.003729
Epoch: [5][360/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015699, lr_decoder: 0.156988, Accuracy: 99.93, IOU: 0.243346 Loss: 0.003682
Epoch: [5][380/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015662, lr_decoder: 0.156618, Accuracy: 99.93, IOU: 0.244581 Loss: 0.003666
Epoch: [5][400/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015625, lr_decoder: 0.156248, Accuracy: 99.92, IOU: 0.245982 Loss: 0.003713
Epoch: [5][420/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015588, lr_decoder: 0.155878, Accuracy: 99.93, IOU: 0.246121 Loss: 0.003651
Epoch: [5][440/500], Time: 1.08, Data: 0.04, lr_encoder: 0.015551, lr_decoder: 0.155507, Accuracy: 99.93, IOU: 0.242855 Loss: 0.003660
Epoch: [5][460/500], Time: 1.07, Data: 0.04, lr_encoder: 0.015514, lr_decoder: 0.155137, Accuracy: 99.92, IOU: 0.244375 Loss: 0.003733
Epoch: [5][480/500], Time: 1.07, Data: 0.04, lr_encoder: 0.015477, lr_decoder: 0.154767, Accuracy: 99.92, IOU: 0.246847 Loss: 0.003718
Saving checkpoints...
Epoch: [6][0/500], Time: 0.93, Data: 0.00, lr_encoder: 0.015440, lr_decoder: 0.154396, Accuracy: 99.94, IOU: 0.147059 Loss: 0.001885
Epoch: [6][20/500], Time: 1.04, Data: 0.04, lr_encoder: 0.015403, lr_decoder: 0.154026, Accuracy: 99.96, IOU: 0.231441 Loss: 0.002334
Epoch: [6][40/500], Time: 1.04, Data: 0.04, lr_encoder: 0.015366, lr_decoder: 0.153655, Accuracy: 99.95, IOU: 0.204696 Loss: 0.002431
Epoch: [6][60/500], Time: 1.06, Data: 0.04, lr_encoder: 0.015328, lr_decoder: 0.153284, Accuracy: 99.93, IOU: 0.221265 Loss: 0.003031
