Input arguments:
id               resnet50_upernet_train2
arch_encoder     resnet50
arch_decoder     upernet
weights_encoder  
weights_decoder  
fc_dim           2048
list_train       /home/ky_aneur/cs230/code/cta-scripts/train_list_40x_upsampling.odgt
list_val         ./data/validation.odgt
root_dataset     /data2/yeom/ky_aneur/sah_png/train
num_gpus         2
batch_size_per_gpu 2
num_epoch        20
start_epoch      1
epoch_iters      500
optim            adam
lr_encoder       0.02
lr_decoder       0.02
lr_pow           0.9
beta1            0.9
weight_decay     0.0001
deep_sup_scale   0.4
fix_bn           0
num_class        2
workers          16
imgSize          [300, 375, 450, 525, 600]
imgMaxSize       1000
padding_constant 32
segm_downsampling_rate 4
random_flip      True
seed             304
ckpt             /data2/yeom/ky_aneur/results/ckpt/loss_weights/
disp_iter        20
Model ID: resnet50_upernet_train2-resnet50-upernet-ngpus2-batchSize4-imgMaxSize1000-paddingConst32-segmDownsampleRate4-LR_encoder0.02-LR_decoder0.02-epoch20
# samples: 36560
1 Epoch = 500 iters
Epoch: [3][160/500], Time: 1.08, Data: 0.04, lr_encoder: 0.017901, lr_decoder: 0.017901, Accuracy: 99.54, IOU: 0.082489 Loss: 0.018416
Epoch: [3][180/500], Time: 1.08, Data: 0.04, lr_encoder: 0.017865, lr_decoder: 0.017865, Accuracy: 99.52, IOU: 0.083776 Loss: 0.019130
Epoch: [3][200/500], Time: 1.08, Data: 0.04, lr_encoder: 0.017828, lr_decoder: 0.017828, Accuracy: 99.53, IOU: 0.086540 Loss: 0.018758
Epoch: [3][220/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017792, lr_decoder: 0.017792, Accuracy: 99.55, IOU: 0.086517 Loss: 0.017956
Epoch: [3][240/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017755, lr_decoder: 0.017755, Accuracy: 99.56, IOU: 0.092446 Loss: 0.017419
Epoch: [3][260/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017719, lr_decoder: 0.017719, Accuracy: 99.55, IOU: 0.090906 Loss: 0.017741
Epoch: [3][280/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017682, lr_decoder: 0.017682, Accuracy: 99.55, IOU: 0.090613 Loss: 0.017406
Epoch: [3][300/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017646, lr_decoder: 0.017646, Accuracy: 99.56, IOU: 0.092387 Loss: 0.017059
Epoch: [3][320/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017609, lr_decoder: 0.017609, Accuracy: 99.57, IOU: 0.092982 Loss: 0.016718
Epoch: [3][340/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017573, lr_decoder: 0.017573, Accuracy: 99.58, IOU: 0.092529 Loss: 0.016584
Epoch: [3][360/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017536, lr_decoder: 0.017536, Accuracy: 99.58, IOU: 0.093471 Loss: 0.016409
Epoch: [3][380/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017500, lr_decoder: 0.017500, Accuracy: 99.58, IOU: 0.093587 Loss: 0.016487
Epoch: [3][400/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017463, lr_decoder: 0.017463, Accuracy: 99.58, IOU: 0.093480 Loss: 0.016252
Epoch: [3][420/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017427, lr_decoder: 0.017427, Accuracy: 99.58, IOU: 0.093901 Loss: 0.016079
Epoch: [3][440/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017390, lr_decoder: 0.017390, Accuracy: 99.60, IOU: 0.097403 Loss: 0.015627
Epoch: [3][460/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017354, lr_decoder: 0.017354, Accuracy: 99.59, IOU: 0.097678 Loss: 0.015559
Epoch: [3][480/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017317, lr_decoder: 0.017317, Accuracy: 99.60, IOU: 0.099920 Loss: 0.015439
Saving checkpoints...
Epoch: [4][0/500], Time: 1.32, Data: 0.00, lr_encoder: 0.017280, lr_decoder: 0.017280, Accuracy: 99.71, IOU: 0.161974 Loss: 0.007714
Epoch: [4][20/500], Time: 1.03, Data: 0.04, lr_encoder: 0.017244, lr_decoder: 0.017244, Accuracy: 99.45, IOU: 0.095128 Loss: 0.017479
Epoch: [4][40/500], Time: 1.07, Data: 0.04, lr_encoder: 0.017207, lr_decoder: 0.017207, Accuracy: 99.53, IOU: 0.104217 Loss: 0.014967
Epoch: [4][60/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017171, lr_decoder: 0.017171, Accuracy: 99.60, IOU: 0.113170 Loss: 0.013229
Epoch: [4][80/500], Time: 1.07, Data: 0.04, lr_encoder: 0.017134, lr_decoder: 0.017134, Accuracy: 99.59, IOU: 0.095148 Loss: 0.013462
Epoch: [4][100/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017097, lr_decoder: 0.017097, Accuracy: 99.63, IOU: 0.097412 Loss: 0.012442
Epoch: [4][120/500], Time: 1.10, Data: 0.04, lr_encoder: 0.017061, lr_decoder: 0.017061, Accuracy: 99.66, IOU: 0.105501 Loss: 0.011581
Epoch: [4][140/500], Time: 1.09, Data: 0.04, lr_encoder: 0.017024, lr_decoder: 0.017024, Accuracy: 99.67, IOU: 0.107300 Loss: 0.011168
Epoch: [4][160/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016987, lr_decoder: 0.016987, Accuracy: 99.67, IOU: 0.109540 Loss: 0.011249
Epoch: [4][180/500], Time: 1.08, Data: 0.04, lr_encoder: 0.016951, lr_decoder: 0.016951, Accuracy: 99.66, IOU: 0.112420 Loss: 0.011561
Epoch: [4][200/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016914, lr_decoder: 0.016914, Accuracy: 99.67, IOU: 0.109891 Loss: 0.011231
Epoch: [4][220/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016877, lr_decoder: 0.016877, Accuracy: 99.68, IOU: 0.111317 Loss: 0.011510
Epoch: [4][240/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016841, lr_decoder: 0.016841, Accuracy: 99.67, IOU: 0.110123 Loss: 0.011444
Epoch: [4][260/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016804, lr_decoder: 0.016804, Accuracy: 99.67, IOU: 0.111891 Loss: 0.011371
Epoch: [4][280/500], Time: 1.09, Data: 0.04, lr_encoder: 0.016767, lr_decoder: 0.016767, Accuracy: 99.68, IOU: 0.115023 Loss: 0.011120
